	Unnamed: 0	date	well_id	variant_id	bhp	prod_w	prod_o	prod_g	prod	sat	wf
51574	189	5783	0	43	30.0	9.885575810940976	7.843135880865317	8.939994211416536e-10	17.728711691806293	0.5576026043398183	0.815
51575	190	5813	0	43	30.0	9.923097113074936	7.828781299983316	9.003030847683123e-10	17.75187841305825	0.5589885691068909	0.815
51576	191	5844	0	43	30.0	9.961563816817096	7.814158202276985	9.053546767255501e-10	17.775722019094083	0.5604027676691118	0.815
51577	192	5875	0	43	30.0	9.999699364240357	7.799740061792376	9.114347950121943e-10	17.799439426032734	0.56179855583627	0.815
51578	193	5903	0	43	30.0	10.033906034455406	7.786898799107567	9.164278141930551e-10	17.820804833562974	0.56304449367842	0.8150000000000001
51579	194	5934	0	43	30.0	10.071442326296344	7.772895253969479	9.226564617376415e-10	17.844337580265822	0.564405502921802	0.815
51580	195	5964	0	43	30.0	10.107560498355802	7.75946533884796	9.285730417786179e-10	17.867025837203762	0.5657102973069671	0.815
51581	196	5995	0	43	30.0	10.144636988197108	7.745738043407137	9.350388901378347e-10	17.890375031604243	0.5670444007057481	0.815
51582	197	6025	0	43	30.0	10.180365889681845	7.732609002442929	9.407422242957979e-10	17.912974892124772	0.5683235727728018	0.815
51583	198	6056	0	43	30.0	10.217067136302362	7.719158259091307	9.463237719506755e-10	17.93622539539367	0.5696330700062612	0.815
51584	199	6087	0	43	30.0	10.253574440351189	7.70582074683213	9.519308827014083e-10	17.95939518718332	0.5709309435803622	0.815
51585	200	6117	0	43	30.0	10.288710246381342	7.693024586316205	9.576014925061998e-10	17.981734832697548	0.5721756183209088	0.815
51586	201	6148	0	43	30.0	10.324790053858884	7.679935169145617	9.63730299990356e-10	18.0047252230045	0.5734489099931933	0.815
51587	202	6178	0	43	30.0	10.359497510337649	7.667404363838025	9.700455581761104e-10	18.026901874175675	0.5746687690788445	0.815
51588	203	6209	0	43	30.0	10.39511236242308	7.654612820969547	9.754043279413224e-10	18.049725183392624	0.575915270554231	0.815
51589	204	6240	0	43	30.0	10.43047101200426	7.64198327736746	9.808471947720774e-10	18.07245428937172	0.5771474557353478	0.815
51590	205	6268	0	43	30.0	10.46220611926359	7.630726688098576	9.853177373746563e-10	18.092932807362164	0.5782482160662439	0.8150000000000001
51591	206	6299	0	43	30.0	10.49704481835025	7.618437139463129	9.917171425860967e-10	18.11548195781338	0.5794515896841914	0.815
51592	207	6329	0	43	30.0	10.530512771356198	7.60669343981275	9.976389886510131e-10	18.137206211168948	0.5806028033618251	0.815
51593	208	6360	0	43	30.0	10.56483965466327	7.594712714925989	1.004491234535369e-09	18.15955236958926	0.5817786385723687	0.815
51594	209	6390	0	43	30.0	10.597821271699264	7.583286766110613	1.009703151202148e-09	18.18110803780988	0.5829029369200037	0.815
51595	210	6421	0	43	30.0	10.631634279866091	7.571670574154584	1.0168295751676455e-09	18.20330485402068	0.5840496747774796	0.815
51596	211	6452	0	43	30.0	10.66536223934296	7.560177642128242	1.0216929112493915e-09	18.2255398814712	0.5851877260539089	0.815
51597	212	6482	0	43	30.0	10.697960347714778	7.5491429126294305	1.0275962924451474e-09	18.247103260344208	0.5862826660801708	0.815
51598	213	6513	0	43	30.0	10.731468080347687	7.537842294835353	1.0329296711294215e-09	18.26931037518304	0.5874041143296395	0.815
